Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,43.2220189082037,69.1,67.2595520019531,89.5,71.5,84.1371383666992
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,92.3776,86.123,81.7908,77.4586,73.1264,68.7942
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,98.7307589652135,96.5285898367748,94.0017341230592,91.3762048564238,88.7687273393836,86.5709321507136
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,23.5779686892153,23.6436386470918,22.587453161034,22.009298022763,20.5469658803948,20.9658976104561
Afghanistan,AFG,"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,-7.59086467916443,18.2247894194574,0.00517080272992132,-0.100457250332653,-5.65736076451711,5.97175068925613
Afghanistan,AFG,"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,3840559846.98805,4540493791.62985,4540728571.60678,4536167080.53868,4279539743.91134,4535103188.06536
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.9572982788086,98.7646604654583,99.1349868774414,99.2343444824219,99.3367080688477,99.439567565918
Algeria,DZA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,11.1822,11.556,11.2724,10.9888,10.7052,10.4216
Algeria,DZA,Age dependency ratio (% of working-age population),SP.POP.DPND,49.1179538794745,49.7831413096816,50.6006358539198,51.596999773147,52.7249187566745,53.9078874261101
Algeria,DZA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,8.11034735557068,8.77068803927155,9.85111793371892,10.2863995118628,11.5860331634814,12.295779686707
Algeria,DZA,"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,11.599999998318,7.2000000117341,8.199999993096,2.50000000058006,6.39999999692138,1.80000000238283
Algeria,DZA,"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,15231747948.9007,16328433803.0088,17667365373.7282,18109049508.1739,19268028676.1395,19614853192.7692
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100
Andorra,AND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,..,..,..,..,..,..
Andorra,AND,Age dependency ratio (% of working-age population),SP.POP.DPND,..,..,..,..,..,..
Andorra,AND,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,0.534685932590804,0.612256498120194,0.577337772940781,0.496149201132471,0.47019470478715,0.492101388264151
Andorra,AND,"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,..,..,..,..,..,..
Andorra,AND,"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,5.93858003616333,6.5,6.58331918716431,7,7.25208950042725,7.58847713470459
Burundi,BDI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,30.586,29.88,29.2604,28.6408,28.0212,27.4016
Burundi,BDI,Age dependency ratio (% of working-age population),SP.POP.DPND,88.1515497132842,88.4291976487672,88.7061183235202,89.0873702744597,89.592063479966,90.1197882258195
Burundi,BDI,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,36.9017589012506,37.0693406311999,36.313320971046,35.6701089613444,37.0741241940996,36.3588033381934
Burundi,BDI,"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,4.38840701223428,5.43258362118324,0.975436203859559,3.34921488278439,-2.9826071182506,-2.84917564962731
Burundi,BDI,"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,782191696.023799,824684913.988243,832729189.207053,860619079.145265,834950193.229656,811160995.63764
Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,11.013710975647,11.5958757400513,12.1870517730713,12.7842359542847,13.3844232559204,13.9851121902466
Central African Republic,CAF,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,114.304,113.73,111.7444,109.7588,107.7732,105.7876
Central African Republic,CAF,Age dependency ratio (% of working-age population),SP.POP.DPND,86.9342987655909,88.0506357951585,88.9483165506295,89.6054826709755,90.03543961763,89.2512487699714
Central African Republic,CAF,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,51.5855251156097,50.7499363542639,43.7725590750594,40.5943139111028,39.9980533860561,40.4735416380485
Central African Republic,CAF,"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,6.47438333917457,2.65624782683275,-45.3518855973824,-6.16247887510175,3.47998009678601,5.73262274363621
Central African Republic,CAF,"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,1063406661.13386,1091653377.46062,596567986.594719,559804610.445199,579285699.469583,612493963.228008
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100
Euro area,EMU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,8.87267205780902,8.51507166192068,8.29751372587158,8.08637116462465,7.88299837633058,7.68070588792964
Euro area,EMU,Age dependency ratio (% of working-age population),SP.POP.DPND,51.4908953296914,52.0897280592525,52.7455421024748,53.4238520434226,54.0913447567012,54.6155982238025
Euro area,EMU,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1.51346160864949,1.53139022776627,1.59834914958364,1.53184056253252,1.5195669193882,1.45108179663026
Euro area,EMU,"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,1.66645775143463,-4.41827465564305,2.75645830719515,2.5608127191643,2.355355335715,-1.32537868675693
Euro area,EMU,"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,189452887155.869,181082338258.277,186073797414.061,190838798885.272,195333730717.431,192744819082.455
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: Jobs,,,,,,,,,
Last Updated: 02/17/2021,,,,,,,,,
